"";"subjectid";"Zaposleni";"d_dug";"k_dug";"matimov";"kapital_rezerve";"osnovni_kapital";"nematimov";"prihod";"placa_net";"placa_brutto";"amortizacija";"financijski_trosak";"porez_dobit";"nett";"materijalni_trosak";"d_obveze";"k_obveze";"Export";"Import";"energy";"reportyear";"employeecounteop";"foreigncontrol";"nacerev21";"nacerev22";"nacerev23";"nacerev24";"countyid";"municipalityid";"NAZIV_OPC";"ZUPANIJA";"NAZIV_ZUP";"naziv";"adresa";"godinaOsnivanja"
"37";"00124290";1;0;0,000221536;0,00024389;0,000203652;1,8792e-05;0;0,000230574;0;1,815e-05;0;0;0;2,8813e-05;0,000163423;0;0,000221536;0;0;5,504e-06;2005;1;NA;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"38";"00124290";1;0;7,3771e-05;6,7759e-05;0,000125059;1,8792e-05;0;0,000550065;1,6198e-05;2,445e-05;3,23e-05;1,3489e-05;0;6,8487e-05;0,000359623;0;7,3771e-05;0,000550065;0;0;2002;1;NA;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"39";"00124290";1;0;0,000146618;0,000303639;0,000452864;1,8792e-05;0;0,000185048;4,158e-05;6,3592e-05;0;2,02e-07;0;-1,9623e-05;0,000128018;0;0,000146618;0;0;1,248e-05;2013;1;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"40";"00124290";2;0;0,000184695;0,000303639;0,000445755;1,8792e-05;0;0,000139951;5,1695e-05;8,0093e-05;0;4,67e-07;0;3,6145e-05;0,000129516;0;0,000184695;0;0;1,4734e-05;2011;2;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"41";"00124290";2;0;0,000211526;0,000249697;0,000282814;1,8792e-05;0;0,000846074;4,33e-05;7,2026e-05;0;0;0;0,000473851;0,000284921;0;0,000211526;0,000423037;0;7,635e-06;2007;2;NA;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"42";"00124290";1;0;0,000281677;6,7589e-05;0,000128811;1,8792e-05;0;0,000170138;1,71e-05;2,5436e-05;1,2622e-05;0;0;3,751e-06;8,3066e-05;0;0,000281677;0;0;0;2003;1;NA;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"43";"00124290";2;0;0,000113374;0,000242401;0,000375219;1,8792e-05;0;0,000411809;1,381e-05;4,3962e-05;4,3005e-05;0;0;4,9016e-05;0,000274662;0;0,000113374;0;0;0;2009;2;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"44";"00124290";2;0;0,000188393;0,000226353;0,000232;1,8792e-05;0;0,000158499;0;1,291e-05;3,1665e-05;0;0;4,1452e-05;7,3953e-05;0;0,000188393;0;0;0;2006;2;NA;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"45";"00124290";1;0;0,000127015;0,000303639;0,000472486;1,8792e-05;0;0,000220378;4,4448e-05;6,9039e-05;0;2,257e-06;0;2,6733e-05;0,000197172;0;0,000127015;0;0;0;2012;1;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"46";"00124290";1;5,8845e-05;0,000113406;0,000379678;0,000475564;1,8792e-05;0;0,000336048;4,1847e-05;6,4384e-05;3,7377e-05;9,982e-06;0;2,27e-05;0,000176358;5,8845e-05;0,000113406;0;0;8,111e-06;2014;1;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"47";"00124290";1;0;2,4186e-05;3,483e-05;5,6572e-05;1,8792e-05;0;4,3454e-05;0;1,0967e-05;0;0;0;1,2466e-05;5,1214e-05;0;2,4186e-05;0;0;0;2001;1;0;"F";43;432;4321;9;130;"GOSPIÆ";9;"LIÈKO-SENJSKA";"VAL d.o.o.";"Kaniška 40";"1992"
"48";"00129399";3;6,8234e-05;4,1884e-05;6,5378e-05;0,000132292;2e-05;0;0,00040651;9,1501e-05;0,000144729;4,3152e-05;1,85e-06;0;1,2292e-05;7,5374e-05;6,8234e-05;4,1884e-05;0;0;1,7516e-05;2003;3;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"49";"00129399";3;3,8212e-05;0,000372203;0,00026101;4,5062e-05;2e-05;0;0,000335945;0,0001156;0,000184801;4,7796e-05;0;0;1,8598e-05;7,481e-05;3,8212e-05;0,000372203;0;0;2,4714e-05;2005;4;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
"50";"00129399";5;2,584e-06;0,000200641;0,000147014;1,1079e-05;2e-05;9,108e-06;0,000184046;0,000118408;0,000175896;0;4,692e-06;0;-1,9273e-05;1,4253e-05;2,584e-06;0,000200641;0;0;6,993e-06;2012;5;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"VERITAS d.o.o.";"Andrije Štampara 7";"1992"
